"Angle (rad) Run #1","Light Intensity, Ch 1 (lx) Run #1"
,44.32
,44.29
,44.30
,44.30
,44.29
,44.28
,44.28
,44.29
,44.30
,44.31
,44.32
,44.33
,44.34
,44.35
,44.35
,44.35
,44.34
,44.32
,44.32
,44.31
,44.30
,44.31
,44.30
,44.32
,44.32
,44.31
,44.32
,44.33
,44.34
,44.34
,44.35
,44.35
,44.35
,44.34
,44.34
,44.35
,44.34
,44.34
,44.34
,44.32
,44.31
,44.33
,44.33
,44.31
,44.29
,44.32
,44.32
,44.32
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.32
,44.32
,44.32
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.35
,44.34
,44.31
,44.31
,44.30
,44.31
,44.34
,44.32
,44.35
,44.34
,44.35
,44.33
,44.33
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.34
,44.34
,44.35
,44.33
,44.34
,44.35
,44.35
,44.35
,44.35
,44.34
,44.33
,44.31
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.33
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.34
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.34
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.36
,44.36
,44.36
0.000,44.36
,44.36
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.36
,44.35
,44.35
0.000,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.36
,44.36
,44.36
,44.36
,44.35
,44.36
,44.36
0.000,44.36
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.36
,44.37
,44.37
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.37
,44.37
,44.37
,44.37
,44.37
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.35
,44.37
,44.38
,44.40
,44.39
,44.38
0.000,44.38
,44.38
,44.37
,44.37
,44.36
,44.35
