Time (s) Run #1;Angle (rad) Run #1;White, 928-901 Run #1
0;;147
0,05;0;144
0,1;0;144
0,15;0;142
0,2;0;140
0,25;0;139
0,3;0;139
0,35;0;137
0,4;0;137
0,45;0;137
0,5;0;135
0,55;-0,017;135
0,6;-0,017;134
0,65;-0,017;134
0,7;-0,017;134
0,75;-0,017;132
0,8;-0,017;133
0,85;-0,017;131
0,9;-0,017;130
0,95;-0,017;127
1;-0,017;127
1,05;-0,017;123
1,1;-0,017;124
1,15;-0,017;123
1,2;-0,017;123
1,25;-0,017;125
1,3;-0,017;124
1,35;-0,017;124
1,4;-0,017;123
1,45;-0,017;123
1,5;-0,017;123
1,55;-0,017;126
1,6;-0,017;130
1,65;-0,017;137
1,7;-0,017;143
1,75;-0,017;146
1,8;-0,017;148
1,85;-0,017;148
1,9;-0,017;142
1,95;-0,017;135
2;-0,017;135
2,05;-0,017;144
2,1;-0,017;140
2,15;-0,017;136
2,2;-0,017;129
2,25;-0,017;127
2,3;-0,017;127
2,35;-0,017;133
2,4;0;132
2,45;0;132
2,5;0;129
2,55;0;122
2,6;0;124
2,65;0;123
2,7;0;122
2,75;0;126
2,8;0;123
2,85;0;122
2,9;0;121
2,95;0;119
3;0;121
3,05;0;119
3,1;0;120
3,15;0,017;120
3,2;0,017;122
3,25;0,017;120
3,3;0,017;121
3,35;0,017;121
3,4;0,017;120
3,45;0,017;121
3,5;0,017;120
3,55;0,017;119
3,6;0,017;120
3,65;0,017;119
3,7;0,017;120
3,75;0,017;120
3,8;0,017;119
3,85;0,035;120
3,9;0,035;120
3,95;0,035;119
4;0,035;120
4,05;0,035;119
4,1;0,035;120
4,15;0,035;121
4,2;0,035;120
4,25;0,035;121
4,3;0,035;120
4,35;0,035;120
4,4;0,035;121
4,45;0,035;121
4,5;0,052;121
4,55;0,052;121
4,6;0,052;121
4,65;0,052;120
4,7;0,052;121
4,75;0,052;121
4,8;0,052;123
4,85;0,052;121
4,9;0,052;122
4,95;0,052;121
5;0,052;123
5,05;0,052;122
5,1;0,052;122
5,15;0,052;121
5,2;0,052;122
5,25;0,07;123
5,3;0,07;122
5,35;0,07;123
5,4;0,07;121
5,45;0,07;121
5,5;0,07;123
5,55;0,07;122
5,6;0,07;122
5,65;0,07;121
5,7;0,07;122
5,75;0,07;122
