"Angle (rad) Run #1";"White Run #1"
;5604
0,000;5858
0,017;5660
0,017;5828
0,017;5893
0,017;5991
0,017;5908
0,035;5826
0,035;5803
0,035;5517
0,035;5520
0,035;5205
0,052;5404
0,052;4792
0,052;5320
0,052;4894
0,070;5238
0,070;4816
0,070;5070
0,070;4792
0,070;4851
0,087;4869
0,087;4875
0,087;4757
0,087;4916
0,087;4773
0,087;4706
0,087;4759
0,087;4733
0,087;4733
0,087;4823
0,087;4786
0,105;4837
0,105;4697
0,105;4738
0,105;4660
0,105;4660
0,105;4595
0,105;4532
0,105;4354
0,105;3967
0,105;4533
0,105;4097
0,122;4641
0,122;4142
0,122;4765
0,122;4351
0,122;4668
0,122;4248
0,122;4569
0,122;4088
0,122;4305
0,122;3742
0,122;3921
0,140;3880
0,140;4258
0,140;4191
0,140;4564
0,140;4513
0,140;4624
0,157;4628
0,157;4747
0,157;4530
0,157;4562
0,157;4503
0,157;4444
0,157;4465
0,157;4502
0,157;4539
0,157;4699
0,157;4654
0,157;4615
0,157;4614
0,157;4599
0,175;4750
0,175;4805
0,175;4657
0,175;4788
0,175;4572
0,175;4613
0,175;4578
0,175;4779
0,175;4644
0,175;4850
0,175;4821
0,175;4908
0,175;4690
0,175;4753
0,175;4371
0,175;4378
0,175;4259
0,192;4371
0,192;4307
0,192;4436
0,192;4302
0,192;4565
0,192;4552
0,192;4657
0,192;4534
0,192;4606
0,192;4529
0,192;4347
0,192;4358
0,192;4546
0,192;4546
0,192;4486
0,209;4499
0,209;4466
0,209;4594
0,209;4665
0,209;4801
0,209;4883
0,209;4758
0,209;4732
0,209;4636
0,209;4541
0,209;4605
0,209;4648
0,209;4631
0,209;4609
0,209;4624
0,209;4612
0,209;4729
0,209;4689
0,227;4557
0,227;4487
0,227;4657
0,227;4586
0,227;4460
0,227;4359
0,227;4257
0,227;4189
0,227;4204
0,227;4316
0,227;4255
0,227;4540
0,227;4600
0,227;4743
0,227;4515
0,227;4745
0,227;4660
0,227;4660
0,244;4972
0,244;5004
0,244;5305
0,244;5140
0,244;5296
0,244;5125
0,244;5216
0,244;5100
0,244;5216
0,244;5207
0,244;5203
0,244;5180
0,244;5251
0,244;5259
0,244;5319
0,244;5365
0,244;5407
0,244;5513
0,262;5513
0,262;5589
0,262;5652
0,262;5769
0,262;5712
0,262;5808
0,262;5910
0,262;5993
0,262;6015
0,262;6177
0,262;6143
0,279;6203
0,279;6250
0,279;6348
0,279;6387
0,279;6465
0,279;6546
0,279;6848
0,279;6848
0,279;6627
0,279;6796
0,279;6802
0,279;6815
0,279;6760
0,279;6778
0,279;6741
0,279;6889
0,279;6885
0,297;7023
0,297;7046
0,297;7132
0,297;7161
0,297;7118
0,297;7307
0,297;7229
0,297;7335
0,297;7352
0,297;7337
0,314;7353
0,314;7375
0,314;7355
0,314;7302
0,314;7346
0,314;7375
0,314;7350
0,314;7364
0,314;7369
0,314;7361
0,314;7386
0,314;7400
0,314;7398
0,314;7414
0,314;7432
0,332;7434
0,332;7438
0,332;7438
0,332;7455
0,332;7469
0,332;7475
0,332;7452
0,332;7446
0,332;7457
0,332;7446
0,332;7460
0,332;7459
0,349;7465
0,349;7475
0,349;7473
0,349;7504
0,349;7503
0,349;7513
0,349;7525
0,349;7526
0,349;7534
0,349;7545
0,349;7549
0,367;7561
0,367;7551
0,367;7557
0,367;7559
0,367;7559
0,367;7550
0,384;7553
0,384;7550
0,384;7538
0,384;7537
0,384;7513
0,384;7493
0,401;7491
0,401;7487
0,401;7482
0,401;7486
0,401;7486
0,401;7482
0,401;7482
0,401;7479
0,419;7483
0,419;7484
0,419;7492
0,419;7477
0,419;7441
0,419;7400
0,419;7398
0,419;7380
0,419;7364
0,419;7379
0,419;7363
0,436;7336
0,436;7330
0,436;7317
0,436;7317
0,436;7316
0,436;7295
0,436;7285
