"Angle (rad) Run #1","Light Intensity, Ch 1 (lx) Run #1"
,4715
0.000,4681
0.000,4710
0.000,4733
0.000,4771
0.000,4747
0.017,4749
0.017,4703
0.035,4672
0.035,4612
0.035,4587
0.035,4602
0.052,4602
0.052,4537
0.052,4515
0.052,4573
0.052,4549
0.052,4581
0.052,4560
0.070,4619
0.070,4551
0.070,4616
0.070,4421
0.070,4543
0.070,4463
0.070,4576
0.087,4579
0.087,4731
0.087,4727
0.087,4772
0.087,4785
0.105,4701
0.105,4789
0.105,4712
0.105,4818
0.105,4802
0.105,4956
0.105,4873
0.105,5047
0.105,4935
0.122,5083
0.122,4964
0.122,5115
0.122,5149
0.122,5267
0.122,5232
0.122,5311
0.122,5314
0.122,5415
0.140,5415
0.140,5386
0.140,5450
0.140,5465
0.140,5408
0.140,5466
0.140,5349
0.140,5390
0.157,5265
0.157,5369
0.157,5158
0.157,5185
0.157,5215
0.157,5270
0.157,5229
0.157,5324
0.157,5195
0.157,5251
0.175,5187
0.175,5135
0.175,5182
0.175,5161
0.175,5190
0.175,5103
0.175,5038
0.175,5033
0.175,5000
0.175,4880
0.175,5006
0.175,4883
0.175,4833
0.175,4812
0.175,4918
0.175,4840
0.192,4766
0.192,4755
0.192,4829
0.192,4829
0.192,4650
0.192,4683
0.192,4669
0.192,4547
0.192,4505
0.192,4520
0.192,4549
0.192,4510
0.192,4508
0.192,4451
0.192,4472
0.192,4422
0.192,4466
0.192,4395
0.192,4409
0.192,4400
0.192,4395
0.209,4348
0.209,4391
0.209,4307
0.209,4381
0.209,4337
0.209,4370
0.209,4327
0.209,4343
0.209,4285
0.209,4265
0.209,4275
0.209,4250
0.209,4252
0.209,4207
0.209,4166
0.209,4128
0.209,4169
0.209,4137
0.209,4114
0.209,4114
0.209,4087
0.209,4118
0.209,4082
0.209,4110
0.209,3990
0.209,3955
0.209,3919
0.209,3904
0.227,3919
0.227,3919
0.227,3900
0.227,3894
0.227,3876
0.227,3853
0.227,3883
0.227,3894
0.227,3925
0.227,3903
0.227,3918
0.227,3891
0.227,3889
0.227,3878
0.227,3889
0.227,3893
0.227,3913
0.227,3893
0.227,3885
0.227,3915
0.227,3930
0.227,3911
0.227,3905
0.244,3906
0.244,3885
0.244,3908
0.244,3885
0.244,3908
0.244,3904
0.244,3892
0.244,3907
0.244,3904
0.244,3910
0.244,3869
0.244,3891
0.244,3836
0.244,3862
0.244,3846
0.244,3875
0.244,3881
0.244,3889
0.244,3922
0.244,3889
0.262,3883
0.262,3863
0.262,3834
0.262,3789
0.262,3797
0.262,3743
0.262,3755
0.262,3700
0.262,3653
0.262,3626
0.262,3586
0.262,3539
0.262,3575
0.262,3593
0.279,3618
0.279,3654
0.279,3812
0.279,3856
0.279,3856
0.279,3854
0.279,3862
0.279,3869
0.279,3897
0.279,3897
0.279,3921
0.279,3908
0.279,3915
0.279,3904
0.279,3913
0.279,3896
0.279,4011
0.279,4066
0.297,4081
0.297,4062
0.297,4078
0.297,4023
0.297,4047
0.297,4026
0.297,4021
0.297,4022
0.297,4058
0.297,4061
0.297,4114
0.297,4131
0.314,4103
0.314,4131
0.314,4081
0.314,4126
0.314,4066
0.314,4089
0.314,4092
0.314,4009
0.314,4001
0.314,3988
0.314,3924
0.314,3922
0.314,3903
0.314,3935
0.314,3895
0.314,3853
0.332,3853
0.332,3802
0.332,3776
0.332,3725
0.332,3637
0.332,3623
0.332,3599
0.332,3701
0.332,3608
0.332,3676
0.332,3585
0.332,3554
0.332,3566
0.332,3487
0.332,3554
0.349,3434
0.349,3390
0.349,3345
0.349,3354
0.349,3363
0.349,3372
0.349,3382
0.349,3399
0.349,3351
0.349,3442
0.349,3434
0.349,3453
0.349,3538
0.349,3611
0.349,3617
0.349,3603
0.367,3579
0.367,3582
0.367,3559
0.367,3523
0.367,3516
0.367,3482
0.367,3482
0.367,3447
0.367,3458
0.367,3452
0.367,3429
0.367,3440
0.367,3432
0.367,3429
0.367,3408
0.367,3416
0.367,3392
0.367,3387
0.367,3388
0.367,3382
0.367,3405
0.367,3425
0.367,3387
0.384,3381
0.384,3369
0.384,3366
0.384,3421
0.384,3489
0.384,3490
0.384,3458
0.384,3468
0.384,3394
0.384,3418
0.384,3427
0.384,3513
0.384,3589
0.384,3542
0.384,3510
0.384,3496
0.384,3504
0.384,3482
0.384,3485
0.384,3433
0.384,3422
0.401,3381
0.401,3377
0.401,3335
0.401,3377
0.401,3287
0.401,3218
0.401,3169
0.401,3118
0.419,3016
0.419,2999
0.419,3014
0.419,3024
0.419,2958
0.419,2967
0.419,2942
0.419,2934
0.419,2912
0.419,2916
0.419,2882
0.419,2829
0.419,2878
0.419,2867
0.436,2837
0.436,2833
0.436,2789
0.436,2793
0.436,2779
0.436,2732
0.436,2732
0.436,2725
0.436,2720
0.436,2688
0.436,2691
0.436,2667
0.436,2653
0.454,2620
0.454,2597
0.454,2597
0.454,2587
0.454,2566
0.454,2529
0.454,2512
0.454,2503
0.454,2483
0.471,2472
0.471,2447
0.471,2447
0.471,2430
0.471,2419
0.471,2402
0.471,2391
0.471,2390
0.471,2396
0.471,2393
0.471,2376
0.471,2372
0.489,2371
0.489,2373
