Time (s) Run #1,Angle (rad) Run #1,Light Intensity. Ch 1 (lx) Run #1
0,0,466
0.05,0,457
0.1,0,455
0.15,0,456
0.2,0,462
0.25,0,446
0.3,0,430
0.35,0.017,430
0.4,0.017,414
0.45,0.017,420
0.5,0.017,440
0.55,0.017,467
0.6,0.017,461
0.65,0.017,475
0.7,0.017,455
0.75,0.035,436
0.8,0.035,417
0.85,0.035,374
0.9,0.035,326
0.95,0.035,289
1,0.035,265
1.05,0.052,250
1.1,0.052,230
1.15,0.052,207
1.2,0.052,182
1.25,0.052,183
1.3,0.07,180
1.35,0.07,179
1.4,0.07,169
1.45,0.07,156
1.5,0.07,143
1.55,0.087,128
1.6,0.087,123
1.65,0.087,118
1.7,0.087,118
1.75,0.087,115
1.8,0.105,116
1.85,0.105,117
1.9,0.105,115
1.95,0.105,114
2,0.105,116
2.05,0.105,114
2.1,0.122,111
2.15,0.122,113
2.2,0.122,113
2.25,0.122,114
2.3,0.122,115
2.35,0.14,111
2.4,0.14,103
2.45,0.14,106
2.5,0.14,104
2.55,0.14,106
2.6,0.14,106
2.65,0.157,110
2.7,0.157,112
2.75,0.157,129
2.8,0.157,154
2.85,0.175,171
2.9,0.175,212
2.95,0.175,270
3,0.175,345
3.05,0.175,371
3.1,0.175,391
3.15,0.192,429
3.2,0.192,449
3.25,0.192,460
3.3,0.192,472
3.35,0.192,496
3.4,0.192,519
3.45,0.192,510
3.5,0.192,500
3.55,0.209,500
3.6,0.209,524
3.65,0.209,532
3.7,0.209,530
3.75,0.209,523
3.8,0.209,497
3.85,0.209,463
3.9,0.209,420
3.95,0.209,369
4,0.227,324
4.05,0.227,324
4.1,0.227,296
4.15,0.227,281
4.2,0.227,271
4.25,0.227,255
4.3,0.227,238
4.35,0.227,217
4.4,0.227,193
4.45,0.227,178
4.5,0.227,171
4.55,0.227,161
4.6,0.244,152
4.65,0.244,146
4.7,0.244,145
4.75,0.244,142
4.8,0.244,136
4.85,0.244,128
4.9,0.244,120
4.95,0.244,116
5,0.244,116
5.05,0.244,114
5.1,0.244,109
5.15,0.244,104
5.2,0.262,102
5.25,0.262,102
5.3,0.262,97
5.35,0.262,93
5.4,0.262,95
5.45,0.262,93
5.5,0.262,94
5.55,0.262,93
5.6,0.262,93
5.65,0.262,91
5.7,0.279,93
5.75,0.279,92
5.8,0.279,91
5.85,0.279,92
5.9,0.279,90
5.95,0.279,90
6,0.279,89
6.05,0.279,88
6.1,0.297,88
6.15,0.297,87
6.2,0.297,87
6.25,0.297,86
6.3,0.297,86
6.35,0.297,87
6.4,0.297,85
6.45,0.297,86
6.5,0.297,86
6.55,0.297,86
6.6,0.314,84
6.65,0.314,85
6.7,0.314,85
6.75,0.314,84
6.8,0.314,84
6.85,0.314,84
6.9,0.314,83
6.95,0.314,83
7,0.314,83
7.05,0.332,83
7.1,0.332,82
7.15,0.332,82
7.2,0.332,82
7.25,0.332,81
7.3,0.332,81
7.35,0.349,81
7.4,0.349,80
7.45,0.349,81
7.5,0.349,81
7.55,0.349,80
7.6,0.349,81
7.65,0.367,81
7.7,0.367,81
7.75,0.367,80
7.8,0.367,80
7.85,0.367,80
7.9,0.367,81
7.95,0.367,81
8,0.367,81
8.05,0.384,81
8.1,0.384,81
8.15,0.384,80
8.2,0.384,80
8.25,0.384,80
8.3,0.384,79
8.35,0.384,79
8.4,0.384,79
8.45,0.401,79
8.5,0.401,79
8.55,0.401,79
8.6,0.401,78
8.65,0.401,79
8.7,0.401,78
8.75,0.401,78
8.8,0.401,79
8.85,0.401,79
8.9,0.419,79
8.95,0.419,79
9,0.419,79
9.05,0.419,79
9.1,0.419,78
9.15,0.419,78
9.2,0.419,78
9.25,0.419,78
9.3,0.436,79
9.35,0.436,79
9.4,0.436,78
9.45,0.436,78
9.5,0.436,78
9.55,0.436,78
9.6,0.436,77
9.65,0.454,77
9.7,0.454,79
9.75,0.454,78
9.8,0.454,77
9.85,0.454,78
9.9,0.454,77
9.95,0.454,77
10,0.454,77
10.05,0.471,78
10.1,0.471,76
10.15,0.471,77
10.2,0.471,79
10.25,0.471,79
10.3,0.471,81
10.35,0.471,78
10.4,0.489,79
10.45,0.489,78
10.5,0.489,76
10.55,0.489,77
10.6,0.489,77
10.65,0.489,79
10.7,0.506,80
10.75,0.506,82
10.8,0.506,81
10.85,0.506,80
10.9,0.506,77
10.95,0.506,71
11,0.506,70
11.05,0.506,68
11.1,0.524,66
11.15,0.524,67
11.2,0.524,66
11.25,0.524,66
11.3,0.541,65
11.35,0.541,64
11.4,0.541,63
11.45,0.541,64
11.5,0.541,61
11.55,0.541,61
11.6,0.559,61
11.65,0.559,60
11.7,0.559,61
11.75,0.559,59
11.8,0.559,60
11.85,0.559,57
11.9,0.576,58
11.95,0.576,57
12,0.576,56
12.05,0.576,56
12.1,0.576,55
12.15,0.576,56
12.2,0.593,56
12.25,0.593,56
12.3,0.593,54
12.35,0.593,54
12.4,0.593,54
12.45,0.611,56
12.5,0.611,54
12.55,0.611,55
12.6,0.611,54
12.65,0.611,55
12.7,0.611,54
12.75,0.628,54
12.8,0.628,54
12.85,0.628,53
12.9,0.628,54
12.95,0.628,53
13,0.628,54
13.05,0.646,52
13.1,0.646,53
13.15,0.646,52
13.2,0.646,53
13.25,0.646,53
13.3,0.646,53
13.35,0.646,52
13.4,0.663,52
13.45,0.663,52
13.5,0.663,52
13.55,0.663,51
13.6,0.663,50
13.65,0.663,51
13.7,0.663,51
13.75,0.681,50
13.8,0.681,50
13.85,0.681,50
13.9,0.681,50
13.95,0.681,49
14,0.681,50
14.05,0.681,49
14.1,0.698,49
14.15,0.698,49
14.2,0.698,49
14.25,0.698,48
14.3,0.698,49
14.35,0.698,48
14.4,0.698,49
14.45,0.698,48
14.5,0.716,48
14.55,0.716,48
14.6,0.716,48
14.65,0.716,48
14.7,0.716,47
14.75,0.716,48
14.8,0.716,48
14.85,0.716,48
14.9,0.733,48
14.95,0.733,48
15,0.733,48
15.05,0.733,48
15.1,0.733,48
15.15,0.733,49
15.2,0.733,48
15.25,0.75,48
15.3,0.75,49
15.35,0.75,48
15.4,0.75,48
15.45,0.75,48
15.5,0.75,48
15.55,0.75,49
15.6,0.75,48
15.65,0.768,49
15.7,0.768,48
15.75,0.768,48
15.8,0.768,48
15.85,0.768,49
15.9,0.768,49
15.95,0.768,49
16,0.768,49
16.05,0.785,49
16.1,0.785,49
16.15,0.785,49
16.2,0.785,49
16.25,0.785,49
16.3,0.785,49
16.35,0.785,49
16.4,0.785,50
16.45,0.785,50
16.5,0.803,49
16.55,0.803,50
16.6,0.803,50
16.65,0.803,50
16.7,0.803,50
16.75,0.803,50
16.8,0.803,50
16.85,0.803,50
16.9,0.803,51
16.95,0.803,51
17,0.803,51
17.05,0.82,52
17.1,0.82,51
17.15,0.82,51
17.2,0.82,52
17.25,0.82,52
17.3,0.82,52
17.35,0.82,52
17.4,0.82,53
17.45,0.82,53
17.5,0.82,53
17.55,0.82,53
17.6,0.838,54
17.65,0.838,54
17.7,0.838,54
17.75,0.838,55
17.8,0.838,56
17.85,0.838,57
17.9,0.838,56
17.95,0.838,58
18,0.838,59
18.05,0.838,58
18.1,0.838,58
18.15,0.838,59
18.2,0.838,59
18.25,0.838,60
18.3,0.838,60
18.35,0.855,60
18.4,0.855,60
18.45,0.855,61
18.5,0.855,62
18.55,0.855,62
18.6,0.855,63
18.65,0.855,64
18.7,0.855,64
18.75,0.855,65
18.8,0.855,65
18.85,0.855,64
18.9,0.855,65
18.95,0.873,65
19,0.873,65
19.05,0.873,65
19.1,0.873,66
19.15,0.873,66
19.2,0.873,66
19.25,0.873,67
19.3,0.873,66
19.35,0.873,67
19.4,0.873,67
19.45,0.873,67
19.5,0.873,67
19.55,0.873,67
19.6,0.873,67
19.65,0.873,67
19.7,0.873,67
19.75,0.89,67
19.8,0.89,68
19.85,0.89,68
19.9,0.89,68
19.95,0.89,67
20,0.89,67
20.05,0.89,67
20.1,0.89,67
20.15,0.89,66
20.2,0.89,66
20.25,0.89,66
20.3,0.89,65
20.35,0.89,65
20.4,0.89,66
20.45,0.89,64
20.5,0.89,63
20.55,0.89,63
20.6,0.908,64
20.65,0.908,64
20.7,0.908,64
20.75,0.908,64
20.8,0.908,63
20.85,0.908,63
20.9,0.908,63
20.95,0.908,63
21,0.908,63
21.05,0.908,63
21.1,0.925,64
21.15,0.925,64
21.2,0.925,65
21.25,0.925,67
21.3,0.925,67
21.35,0.925,68
21.4,0.925,65
21.45,0.925,64
21.5,0.925,64
21.55,0.925,65
21.6,0.925,66
21.65,0.925,66
21.7,0.925,70
21.75,0.925,70
21.8,0.942,71
21.85,0.942,70
21.9,0.942,70
21.95,0.942,69
22,0.942,68
22.05,0.942,71
22.1,0.942,70
22.15,0.942,71
22.2,0.942,71
22.25,0.942,72
22.3,0.942,73
22.35,0.96,74
22.4,0.96,74
22.45,0.96,75
22.5,0.96,73
22.55,0.96,72
22.6,0.96,74
22.65,0.96,75
22.7,0.96,76
22.75,0.96,76
22.8,0.96,78
22.85,0.96,77
22.9,0.96,74
22.95,0.96,75
