"Angle (rad) Run #1","Light Intensity, Ch 1 (lx) Run #1"
,40.25
,40.25
,40.25
,40.25
,40.24
,40.24
,40.21
,40.20
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.29
,40.26
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
0.000,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.23
,40.25
,40.25
,40.25
,40.24
,40.25
,40.25
,40.23
,40.23
,40.25
,40.25
,40.25
,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.21
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
0.000,40.24
,40.20
,40.19
,40.21
,40.25
,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.21
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.21
,40.20
,40.20
,40.25
,40.25
,40.25
0.000,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.22
,40.19
,40.19
,40.19
,40.19
,40.23
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.21
,40.19
,40.19
,40.19
,40.18
,40.19
,40.19
,40.19
,40.19
,40.19
,40.19
,40.20
,40.23
,40.23
,40.21
,40.19
,40.18
,40.19
,40.25
,40.25
,40.24
,40.23
,40.25
,40.24
,40.20
,40.18
,40.23
,40.21
,40.19
,40.18
0.000,40.19
,40.21
,40.20
,40.21
,40.19
,40.19
,40.25
,40.25
,40.25
,40.25
,40.22
,40.19
,40.19
,40.19
,40.18
,40.23
,40.22
,40.25
,40.22
,40.20
,40.19
,40.19
,40.21
,40.20
,40.24
,40.25
,40.25
,40.24
,40.20
,40.24
,40.20
,40.19
,40.24
,40.21
,40.19
,40.23
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.23
,40.25
,40.25
,40.24
,40.25
,40.23
,40.22
0.000,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.20
,40.19
,40.18
,40.25
,40.25
,40.24
,40.21
,40.19
,40.19
,40.25
,40.24
,40.22
,40.19
,40.20
,40.22
,40.21
,40.19
,40.19
,40.19
,40.19
,40.19
,40.18
,40.20
,40.25
,40.25
,40.25
,40.24
,40.23
,40.21
,40.25
,40.25
,40.25
,40.25
,40.25
0.000,40.25
,40.23
,40.25
,40.25
,40.25
,40.21
,40.23
,40.19
,40.20
,40.20
,40.19
,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.27
,40.25
,40.25
,40.25
,40.25
,40.25
,40.22
,40.23
,40.19
,40.18
,40.18
,40.22
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.24
,40.25
,40.24
,40.21
,40.25
,40.20
,40.19
,40.21
,40.19
,40.19
,40.22
0.000,40.24
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.25
,40.23
,40.23
,40.20
,40.18
,40.18
,40.18
,40.19
,40.19
,40.19
,40.20
,40.23
,40.21
,40.20
,40.22
,40.22
,40.20
,40.20
,40.21
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.19
,40.20
,40.24
,40.21
,40.23
,40.25
,40.24
,40.21
,40.21
,40.19
,40.19
,40.25
,40.25
,40.25
,40.25
,40.20
0.000,40.19
,40.23
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.19
,40.25
,40.25
,40.20
,40.19
,40.18
,40.19
,40.25
,40.25
,40.24
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.23
,40.22
,40.19
,40.19
,40.25
,40.25
,40.21
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.19
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
0.000,40.20
,40.19
,40.18
,40.19
,40.23
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.19
,40.19
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.19
,40.19
,40.20
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
,40.18
